2025-02-07T15:22:16.663Z - Loaded language codes from /home/mapachurro/repos/wordsofweb3/public/assets/language-codes.json
2025-02-07T15:22:16.664Z - Generating index for locale: ar-001 at /home/mapachurro/repos/wordsofweb3/locales/ar-001
2025-02-07T15:22:16.666Z - Loaded terms data for locale ar-001
2025-02-07T15:22:16.667Z - Processing term '0x-api': Display name '0x API', Link: '0x-api.html'
2025-02-07T15:22:16.667Z - Processing term '0xplain': Display name '0xplain', Link: '0xplain.html'
2025-02-07T15:22:16.667Z - Processing term '1inch': Display name '1inch', Link: '1inch.html'
2025-02-07T15:22:16.667Z - Processing term '2fa': Display name 'المصادقة الثنائية (2FA)', Link: '2fa.html'
2025-02-07T15:22:16.667Z - Processing term '3box-labs': Display name '3Box Labs', Link: '3box-labs.html'
2025-02-07T15:22:16.667Z - Processing term '51%-attack': Display name 'هجوم 51٪', Link: '51.html'
2025-02-07T15:22:16.667Z - Processing term 'aave': Display name 'Aave', Link: 'aave.html'
2025-02-07T15:22:16.667Z - Processing term 'absolute-advantage': Display name 'Absolute Advantage', Link: 'absolute-advantage.html'
2025-02-07T15:22:16.667Z - Processing term 'account': Display name 'حساب', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'ach-transfer': Display name 'تحويل ACH', Link: 'ach.html'
2025-02-07T15:22:16.667Z - Processing term 'active-management': Display name 'Active Management', Link: 'active-management.html'
2025-02-07T15:22:16.667Z - Processing term 'actively-validated-services-avs': Display name 'الخدمات التي تخضع للتدقيق النشط (AVS)', Link: 'avs.html'
2025-02-07T15:22:16.667Z - Processing term 'ad-hoc': Display name 'Ad Hoc', Link: 'ad-hoc.html'
2025-02-07T15:22:16.667Z - Processing term 'address': Display name 'العنوان', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'aggregator': Display name 'مُجمِعّ', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'agoric': Display name 'Agoric', Link: 'agoric.html'
2025-02-07T15:22:16.667Z - Processing term 'air-gapping': Display name 'عزل الأجهزة', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'airdrop': Display name 'توزيع مجاني', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'airgap-vault': Display name 'AirGap Vault', Link: 'airgap-vault.html'
2025-02-07T15:22:16.667Z - Processing term 'airswap': Display name 'AirSwap', Link: 'airswap.html'
2025-02-07T15:22:16.667Z - Processing term 'algorithm': Display name 'خوارزمية', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'all-or-none-order': Display name 'All or None Order (AON)', Link: 'all-or-none-order-aon.html'
2025-02-07T15:22:16.667Z - Processing term 'all-time-high': Display name 'All-Time High (ATH)', Link: 'alltime-high-ath.html'
2025-02-07T15:22:16.667Z - Processing term 'allocation': Display name 'Allocation', Link: 'allocation.html'
2025-02-07T15:22:16.667Z - Processing term 'alpha': Display name 'Alpha', Link: 'alpha.html'
2025-02-07T15:22:16.667Z - Processing term 'altcoin': Display name 'عملة بديلة', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'aml': Display name 'مكافحة غسيل الأموال', Link: '.html'
2025-02-07T15:22:16.667Z - Processing term 'angel-investor': Display name 'Angel Investor', Link: 'angel-investor.html'
